Zip Code,City,County,Median Listing Price - All Homes,Median Listing Price Per Square Foot - All Homes,Median Rental Price - All Homes,Median Rental Price Per Square Foot - All Homes,Median Sold Price - All Homes,Median Value Per Square Foot - All Homes,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Price To Rent Ratio - All Homes,Turnover - All Homes,Unsold Renos - All Homes,Zillow Home Value Index - All Homes,Zillow Rental Index - All Homes,% Hispanic,% Black,% Native American,% Asian,% Pacific Islander,% Other Race,% Two Races,% Minority
30004,Alpharetta,Fulton,540000,175.8440514,1900,0.946453734,323130,491,125,95,45.09,54.16,13.21070234,16,4.077,30.3,463781,2225,11.9,8.4,0.1,10.6,0.1,0.4,3,34.5
30005,Alpharetta,Fulton,489000,176.8726697,2245,0.925988288,406320,496,56,41,27.84,71.68,13.43873518,27.52,5.0629,27,468553,2392,5.9,9.7,0.5,25.5,0.1,0.2,2.4,44.3
30009,Alpharetta,Fulton,556100.5,215.59375,2000,1.163828722,299725,423,63,51,28.48,71.11,11.98347107,32.66,5.0651,58.2,413467,2148,9.8,10.6,0.2,13.4,0,1.7,1.8,37.5
30022,Alpharetta,Fulton,449900,166.361225,1950,0.962081754,368650,400,78,65,27.12,72.49,13.23877069,34.58,3.962,35.2,437304,2273,8.5,11.7,0.1,17,0,0.8,2.5,40.6
30075,Roswell,Fulton,515000,184.0858149,2185,1.022222222,367050,354,116,82,36.93,62.58,16.26373626,27.48,4.5314,37.4,450374,2274,5.9,9.5,0.3,4.1,0,0.2,2.2,22.2
30076,Roswell,Fulton,410000,166.797591,1887.5,1.0437417,303975,276,65,57,18.65,81,17.74744027,44.09,5.3973,34.3,383102,2037,22.5,15,0.3,5,0,0.6,2,45.4
30097,Duluth,Fulton,475000,151.2348034,2000,0.840823298,331100,145,74,67,54.88,44.61,10.58201058,11.83,4.5953,13.2,462955,2340,6.1,10.8,0.2,38.8,0,0.3,2,58.2
30213,Fairburn,Fulton,228380,93.58941872,1545,0.794117647,164625,188,56,52,18.24,81.03,10.85043988,18.4,1.0733,300.5,203130,1528,7.8,76.8,0,0.1,0,0.2,0.4,85.3
30268,Palmetto,Fulton,277450,121.9512195,,,148846.1538,299,14,19,18.24,81.5,8.163265306,23.43,2.964,66.3,189892,1421,16,37.5,0.1,0.5,0,0,0.8,54.9
30291,Union City,Fulton,150990,81.0215764,1275,0.760025873,73575,22,23,31,8.72,90.88,8.720930233,19.52,0.2628,196.6,151501,1315,4.7,84.6,0,0.1,0,0,0.8,90.2
30303,Atlanta,Fulton,,,,,148900,206,,,24.73,74.81,,16.49,3.2134,137.8,219973,1632,7.4,55.9,0.3,5.8,0,0,3.2,72.6
30305,Atlanta,Fulton,640000,306.4504633,1895,1.857457847,477875,1113,72,62,63.12,36.21,11.05263158,10.81,5.2258,70.6,563590,2582,4,8.6,0,4,0,0.3,2,18.9
30306,Atlanta,Fulton,749000,353.7677322,2900,1.97024321,474365,2255,41,34,79.39,20.11,9.722222222,7.67,6.2006,15.4,736986,2863,5,5.8,0,3,0,0.3,2.9,17
30307,Atlanta,Fulton,537500,291.0169492,2400,1.696428571,393015,1037,52,39,84.07,15.45,11.45833333,6.28,5.8445,12.3,548605,2426,2.9,13.9,0.2,3.8,0,0.4,2.9,24.1
