,Zip Code,City,County,Median Listing Price - All Homes,Median Listing Price Per Square Foot - All Homes,Median Rental Price - All Homes,Median Rental Price Per Square Foot - All Homes,Median Sold Price - All Homes,Median Value Per Square Foot - All Homes,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Price To Rent Ratio - All Homes,Turnover - All Homes,Unsold Renos - All Homes,Zillow Home Value Index - All Homes,Zillow Rental Index - All Homes,pHisp_e,pNHBlack_e,pNH_AmInd_e,pNH_Asian_e,pNH_PacIsl_e,pNH_OthRace_e,pNH_TwoRace_e,% Minority
6,30097,Duluth,Fulton,475000.0,151.2348034,2000.0,0.840823298,331100.0,145.0,74.0,67.0,54.88,44.61,10.58201058,11.83,4.5953,13.2,462955.0,2340.0,6.1,10.8,0.2,38.8,0.0,0.3,2.0,58.2
7,30213,Fairburn,Fulton,228380.0,93.58941872,1545.0,0.794117647,164625.0,188.0,56.0,52.0,18.24,81.03,10.85043988,18.4,1.0733,300.5,203130.0,1528.0,7.8,76.8,0.0,0.1,0.0,0.2,0.4,85.3
8,30268,Palmetto,Fulton,277450.0,121.95121950000001,,,148846.1538,299.0,14.0,19.0,18.24,81.5,8.163265306,23.43,2.964,66.3,189892.0,1421.0,16.0,37.5,0.1,0.5,0.0,0.0,0.8,54.9
9,30291,Union City,Fulton,150990.0,81.02157640000001,1275.0,0.760025873,73575.0,22.0,23.0,31.0,8.72,90.88,8.720930232999999,19.52,0.2628,196.6,151501.0,1315.0,4.7,84.6,0.0,0.1,0.0,0.0,0.8,90.2
10,30303,Atlanta,Fulton,,,,,148900.0,206.0,,,24.73,74.81,,16.49,3.2134,137.8,219973.0,1632.0,7.4,55.9,0.3,5.8,0.0,0.0,3.2,72.6
16,30310,Atlanta,Fulton,216700.0,166.23883930000002,1395.0,1.035995856,119750.0,237.0,69.0,68.0,2.1,97.73,21.58054711,37.76,5.7966,110.8,236996.0,1374.0,1.7,88.6,0.1,0.3,0.0,0.0,2.0,92.7
17,30311,Atlanta,Fulton,194900.0,131.6049383,1300.0,0.920846395,58230.7692,137.0,36.0,33.0,8.08,91.62,17.06161137,21.66,4.2222,96.8,205449.0,1381.0,3.9,94.2,0.1,0.2,0.0,0.0,0.4,98.8
18,30312,Atlanta,Fulton,385900.0,269.36961210000004,2290.0,1.71641791,245025.0,476.0,28.0,39.0,50.52,48.08,15.04854369,13.52,4.0278,69.1,374145.0,1912.0,4.3,49.5,0.0,3.1,0.0,0.1,2.5,59.5
19,30313,Atlanta,Fulton,300000.0,214.57765669999998,,,181882.3529,221.0,14.0,12.0,40.22,58.77,18.03278689,15.15,2.9292,88.8,284853.0,1727.0,6.1,38.3,0.0,15.5,0.1,0.1,2.5,62.6
20,30314,Atlanta,Fulton,,,1300.0,1.149665552,35000.0,167.0,52.0,42.0,3.76,96.09,15.34653465,26.59,5.05,123.5,183600.0,1297.0,2.4,86.7,0.0,2.2,0.0,0.2,1.1,92.6
21,30315,Atlanta,Fulton,,,1292.5,1.1358857709999999,125250.0,254.0,59.0,59.0,11.8,87.92,13.2183908,30.8,4.1796,117.8,164376.0,1301.0,7.2,79.4,0.1,0.5,0.0,0.3,1.2,88.7
22,30316,Atlanta,Fulton,339810.5,222.7722772,1700.0,1.4342100709999999,276790.0,356.0,103.0,82.0,46.15,52.76,13.61702128,14.0,6.875,16.4,327716.0,1631.0,4.9,52.3,0.3,1.7,0.0,0.3,2.8,62.3
23,30318,Atlanta,Fulton,345000.0,203.35946130000002,1600.0,1.333333333,257750.0,318.0,107.0,94.0,26.2,73.22,12.39669421,21.99,4.8536,67.0,267538.0,1602.0,5.1,52.7,0.1,6.1,0.1,0.2,2.3,66.6
27,30331,Atlanta,Fulton,215000.0,108.59242579999999,1395.0,0.938521242,145750.0,108.0,81.0,74.0,21.31,78.14,12.85714286,19.87,0.8307,150.9,186278.0,1435.0,2.0,95.4,0.3,0.1,0.0,0.0,0.8,98.6
28,30336,Atlanta,Fulton,,,,,,112.0,,,98.48484848,0.0,,15.87,0.7143,,182838.0,1393.0,5.1,82.4,0.0,1.3,0.0,0.0,2.5,91.3
29,30337,Atlanta,Fulton,279900.0,153.0612245,,,134497.0,-270.0,13.0,12.0,17.54,81.92,12.28070175,22.21,4.406000000000001,66.3,201898.0,1370.0,5.2,79.2,0.3,0.2,0.0,0.0,0.8,85.7
32,30344,Atlanta,Fulton,176900.0,134.8385247,1200.0,0.961538462,118185.0,189.0,75.0,59.0,5.49,94.32,15.87301587,25.15,5.2481,102.6,176627.0,1298.0,10.1,74.9,0.0,1.4,0.0,0.1,1.2,87.7
33,30349,Atlanta,Fulton,185000.0,96.93888889,1395.0,0.817948718,108455.0,128.0,81.0,78.0,12.17,87.42,7.910750507,25.31,1.4238,247.2,163519.0,1361.0,2.9,91.2,0.1,0.5,0.0,0.3,2.0,97.0
34,30350,Atlanta,Fulton,539000.0,165.4896552,1600.0,1.060447778,340950.0,513.0,45.0,39.0,36.2,62.83,11.46788991,18.39,3.0716,34.7,431131.0,2059.0,13.1,33.0,0.3,3.5,0.0,0.3,2.5,52.7
35,30354,Atlanta,Fulton,,119.38392379999999,1125.0,0.995,89600.0,130.0,27.0,29.0,4.15,95.72,13.63636364,28.41,4.4003,91.2,160190.0,1272.0,7.6,72.9,0.0,1.2,0.0,2.3,3.5,87.5
38,30008,Marietta,Cobb,236700.0,127.48724490000001,1380.0,0.886928105,151400.0,161.0,37.0,37.0,25.91,72.65,5.479452055,13.33,5.1998,81.8,196966.0,1408.0,32.4,38.3,0.0,2.0,0.0,0.5,3.0,76.2
39,30060,Marietta,Cobb,290000.0,166.923571,1395.0,1.0450089340000002,177585.0,179.0,36.0,34.0,19.61,79.69,12.90322581,19.22,4.8835,76.9,197747.0,1408.0,36.8,28.7,0.0,2.1,0.1,0.7,1.5,69.9
49,30080,Smyrna,Cobb,368000.0,176.4728534,1525.0,1.096438032,273600.0,224.0,109.0,92.0,54.32,44.46,13.69294606,10.81,6.6093,39.7,308570.0,1631.0,16.1,29.3,0.1,8.2,0.1,0.2,2.4,56.4
51,30082,Smyrna,Cobb,329950.0,157.8646583,1525.0,1.034482759,269225.0,265.0,49.0,47.0,50.06,48.76,23.76681614,11.88,6.2453,36.4,306599.0,1723.0,15.2,33.2,0.0,7.3,0.0,0.0,1.7,57.4
54,30106,Austell,Cobb,195000.0,115.41237109999999,1477.0,0.8690798120000001,122650.0,119.0,18.0,18.0,15.46,83.99,9.183673469,15.31,4.184,85.8,186056.0,1394.0,11.8,55.0,0.0,1.8,0.0,0.0,1.2,69.8
