,Zip Code,City,County,Median Listing Price - All Homes,Median Listing Price Per Square Foot - All Homes,Median Rental Price - All Homes,Median Rental Price Per Square Foot - All Homes,Median Sold Price - All Homes,Median Value Per Square Foot - All Homes,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Price To Rent Ratio - All Homes,Turnover - All Homes,Unsold Renos - All Homes,Zillow Home Value Index - All Homes,Zillow Rental Index - All Homes,pHisp_e,pNHBlack_e,pNH_AmInd_e,pNH_Asian_e,pNH_PacIsl_e,pNH_OthRace_e,pNH_TwoRace_e,% Minority
0,30004,Alpharetta,Fulton,540000.0,175.84405139999998,1900.0,0.9464537340000001,323130.0,491.0,125.0,95.0,45.09,54.16,13.21070234,16.0,4.077,30.3,463781.0,2225.0,11.9,8.4,0.1,10.6,0.1,0.4,3.0,34.5
1,30005,Alpharetta,Fulton,489000.0,176.8726697,2245.0,0.925988288,406320.0,496.0,56.0,41.0,27.84,71.68,13.43873518,27.52,5.0629,27.0,468553.0,2392.0,5.9,9.7,0.5,25.5,0.1,0.2,2.4,44.3
2,30009,Alpharetta,Fulton,556100.5,215.59375,2000.0,1.163828722,299725.0,423.0,63.0,51.0,28.48,71.11,11.98347107,32.66,5.0651,58.2,413467.0,2148.0,9.8,10.6,0.2,13.4,0.0,1.7,1.8,37.5
3,30022,Alpharetta,Fulton,449900.0,166.361225,1950.0,0.9620817540000001,368650.0,400.0,78.0,65.0,27.12,72.49,13.23877069,34.58,3.9619999999999997,35.2,437304.0,2273.0,8.5,11.7,0.1,17.0,0.0,0.8,2.5,40.6
4,30075,Roswell,Fulton,515000.0,184.0858149,2185.0,1.0222222220000001,367050.0,354.0,116.0,82.0,36.93,62.58,16.26373626,27.48,4.5314,37.4,450374.0,2274.0,5.9,9.5,0.3,4.1,0.0,0.2,2.2,22.2
5,30076,Roswell,Fulton,410000.0,166.79759099999998,1887.5,1.0437417,303975.0,276.0,65.0,57.0,18.65,81.0,17.74744027,44.09,5.3973,34.3,383102.0,2037.0,22.5,15.0,0.3,5.0,0.0,0.6,2.0,45.4
11,30305,Atlanta,Fulton,640000.0,306.45046329999997,1895.0,1.8574578469999998,477875.0,1113.0,72.0,62.0,63.12,36.21,11.05263158,10.81,5.2258,70.6,563590.0,2582.0,4.0,8.6,0.0,4.0,0.0,0.3,2.0,18.9
12,30306,Atlanta,Fulton,749000.0,353.76773219999995,2900.0,1.97024321,474365.0,2255.0,41.0,34.0,79.39,20.11,9.722222222000001,7.67,6.2006,15.4,736986.0,2863.0,5.0,5.8,0.0,3.0,0.0,0.3,2.9,17.0
13,30307,Atlanta,Fulton,537500.0,291.0169492,2400.0,1.696428571,393015.0,1037.0,52.0,39.0,84.07,15.45,11.45833333,6.28,5.8445,12.3,548605.0,2426.0,2.9,13.9,0.2,3.8,0.0,0.4,2.9,24.1
14,30308,Atlanta,Fulton,335000.0,334.2070773,1850.0,1.9659624409999998,234600.0,324.0,55.0,59.0,44.64,54.35,7.346938776,13.83,3.3762,58.6,309580.0,1802.0,6.6,31.2,0.2,5.9,0.0,0.5,1.8,46.2
15,30309,Atlanta,Fulton,434950.0,335.28569189999996,2000.0,2.081784387,265000.0,518.0,83.0,72.0,42.14,57.06,13.73056995,14.6,3.7944,37.9,354915.0,1996.0,3.9,14.0,0.4,7.9,0.1,0.3,2.8,29.4
24,30324,Atlanta,Fulton,427900.0,235.8490566,2014.0,1.475237092,259425.0,283.0,63.0,54.0,60.26,38.55,11.74603175,11.01,5.6514,34.5,444480.0,2078.0,10.8,16.0,0.2,10.2,0.0,0.7,3.8,41.7
