Zip Code,pHisp_e,pNHBlack_e,pNH_AmInd_e,pNH_Asian_e,pNH_PacIsl_e,pNH_OthRace_e,pNH_TwoRace_e,% Minority
30168,22.2,61,0,0.5,0,0.1,0.6,84.4
31401,5.7,41,0,2.9,0,0.4,1.5,51.5
30170,3.5,5,0,0,0.4,0.2,0.8,9.9
30171,0.3,0.4,0,0,0,0,3.9,4.6
30173,2.4,3.5,0,0,0,0,2.6,8.5
30175,1.9,0.6,0.2,0,0,0,1.9,4.6
31641,3.3,29.2,1.2,0,0,0,2.4,36.1
30176,0.9,2,0,0.2,0,0.3,1.6,5
31642,23.5,21.7,0,0,0,0.2,0,45.4
30177,0,0.3,0,0,0,0,2.1,2.4
31643,4.5,46,0,0.8,0,0.5,0.8,52.6
30178,8.6,5.4,0,2.3,0,0.1,0.4,16.8
31645,4.6,12,0.5,2.9,0,0,1.5,21.5
30179,3.4,10.1,0.2,1.4,0,0,0.7,15.8
31647,7.4,31.1,0.6,0.9,0,0.2,1.9,42.1
30180,4.7,23.3,0.4,1.9,0.1,0.9,2.8,34.1
31648,31.6,8.1,0.3,0,0,0.9,1.2,42.1
30182,1.9,1,0,2.3,0,0.1,0.3,5.6
31649,0.7,14,0,0,0,0,0,14.7
30183,1.8,4.5,0.3,0.7,0,0,6,13.3
31650,24.9,12.8,0,0,0,0,0.2,37.9
30184,3.2,2.5,0,0.1,0,0,3.2,9
31698,3.4,48,0,0.9,1.6,0,4.9,58.8
30185,1.7,2.4,0.1,0.1,0,0,0.1,4.4
31699,9.4,20.1,1,7.8,0,0,8.6,46.9
30187,3.8,14.4,0,1.8,0,0.2,2.3,22.5
31701,2.1,77.1,0.2,0.6,0.1,0.1,2.4,82.6
30188,9,8.5,0.1,2.5,0,0.4,2.3,22.8
31705,3.6,69.7,0.1,0,0,0,1.6,75
30189,7.2,7.1,0.1,2.1,0,0.1,1.5,18.1
31707,2,59.3,0.3,1.9,0,0,2.3,65.8
30204,1.1,36.5,0.1,1.1,0,0,2.3,41.1
31709,6.9,45.1,0.1,1.9,0,0,2.2,56.2
30205,1.2,2.2,1.3,1.3,0,0,1.1,7.1
31711,26.9,19.4,0,0,0,0,0.7,47
30206,1.8,19.8,0,0,0,0,0.9,22.5
31712,7.7,13.3,0,0,0,0,0,21
30213,7.8,76.8,0,0.1,0,0.2,0.4,85.3
31714,5.3,46.8,0,0,0,0,0.1,52.2
30214,9.3,42.7,0,4,0.2,1.2,2.3,59.7
31716,2.2,39.1,0.6,0.1,0,0,2.2,44.2
30215,4.7,24.2,0.2,4.6,0,0.2,2.7,36.6
31719,2.5,71.4,0,0,0,0.1,0.5,74.5
30216,0.7,41,0.2,0,0,0,0.3,42.2
31720,25.7,19.4,0,0,0,0,1.7,46.8
30217,0.6,10.5,0,0.6,0,0,4,15.7
31721,4,50.8,0,1.8,0,0.2,1,57.8
30218,0.7,30.6,0,0,0,0,2.9,34.2
31722,8.2,25.5,0.3,0,0,0,1,35
30220,4.5,28.9,0.1,0.5,0,0,0.8,34.8
30222,6.3,42.8,0,0,0,0.7,4.7,54.5
31784,3.1,14.1,0,0,0,0,1.7,18.9
30223,6.2,38.2,0.6,0.4,0.1,0.1,1.5,47.1
31787,1.1,48.2,0,1.3,0,0,0.6,51.2
31788,21.1,12.7,0.7,0.8,0,0,0.1,35.4
31789,4.4,24.3,0,0,0,0,0.2,28.9
31790,1.5,22.5,1.1,0.7,0,0,2.3,28.1
31791,0.3,34.5,0.8,0.4,0,0.6,1,37.6
31792,3.1,45.2,0,0.1,0.1,0,3,51.5
31793,11.9,14.1,0,1.3,0,0,1.8,29.1
31794,9.3,37.2,0.1,1.3,0.1,0.6,1.1,49.7
31795,3.3,25.3,0,0,0,0,0.4,29
31796,0,32.4,0,0.4,0,0,1.7,34.5
31798,6.4,10.8,0,0,0,0,0,17.2
31801,3.9,15,0,1.6,0,0,1.8,22.3
31803,2.2,51.7,0,0.3,0.7,0.5,1.7,57.1
31804,2.6,4.3,0,0.7,0,0.6,0.8,9
31805,1.4,35.6,0.6,0.6,0,0,4,42.2
31806,5.1,27.1,0,0,0,0,0.3,32.5
31807,0.7,15.3,0,4,0,0,2.2,22.2
31820,9.6,18.2,1,5,0,0,2.1,35.9
31821,0,90.5,0,0,0,0,0,90.5
31822,4.3,27.9,0.1,0.3,0,0,4.1,36.7
31823,2.2,3.5,0,0,0,0,2.2,7.9
31824,3,55.4,0,0,0,0,0.3,58.7
31825,0,59.6,0,0,0,0,1.5,61.1
31826,7.7,38.5,0,0,0,0,0,46.2
31827,1.5,69.8,0,0.3,0,0,0.3,71.9
31829,3.1,10.6,0,0,0,0,0,13.7
31830,0.9,36.1,0.3,3.1,0,0.5,1,41.9
31831,1.8,30.6,0,0.3,0,0.1,2.8,35.6
31832,0,17.6,0,0,0,0,5.9,23.5
31833,0.1,47.1,0,0,0,0,0.3,47.5
31836,0,42.1,0,0,0,0,0,42.1
31901,3.9,52,0.4,1.4,0,0,2.2,59.9
31011,6.5,17.9,0,0,0,0,4.1,28.5
31012,3.8,46.7,0,0.3,0,0,0.2,51
31014,3,27.5,0.1,0.2,0,0,0.5,31.3
31015,3,45.2,0,1.3,0.2,0,1.6,51.3
31016,0,53.4,0,0,0,0,0,53.4
31017,0.4,14.5,0.3,0.5,0,0,0,15.7
31018,5.5,55.5,0,0,0,0,0.4,61.4
31019,0.6,18.2,0,0.3,0,0,0,19.1
31020,0,34.8,0,0,0,0,5,39.8
31021,1.6,45.5,0.1,1.7,0,0,0.4,49.3
31022,2.6,12.2,0,0,0,0,1.9,16.7
31023,3.5,25.8,0,0.8,0,0.2,3.8,34.1
31024,6.8,26.2,0,0.5,0,0,1.5,35
31025,0.9,28.7,0.8,0,0,0,7.8,38.2
31027,5.7,32.5,0,0,0,0.3,0.8,39.3
31028,3,22.6,0,4.7,0,0,3,33.3
31029,2.3,27.9,0.2,0.4,0,0,1,31.8
31030,9.9,52.6,0,1.5,0,0,0.9,64.9
31031,0.4,31.6,0.1,0,0,0,3.1,35.2
31032,1.7,21.4,0.3,0.1,0,0,0.9,24.4
30411,2.5,48.5,0,0,0,0,0,51
31033,1.7,21.4,0,0.5,0,0,0.8,24.4
30412,0,7.1,0,9.5,0,0,0,16.6
31035,3.1,34.2,0,0.4,0,0,2,39.7
30413,1.9,34.4,0,0,0,0,0.1,36.4
31036,3.1,33.2,0.2,0,0,0,1.5,38
30415,1.4,5.3,0,0.4,0,0,1.3,8.4
31037,3.6,38.6,0.1,0,0,0,0,42.3
30417,11.6,28.8,0,0.6,0,0.1,0.6,41.7
31038,0,19.7,0,0.7,0,0,0,20.4
30420,6.2,14.9,0,0,0,0,0,21.1
30421,3.4,14,0,0,0,0,0.5,17.9
31041,0,58.8,0,3.3,0,0,0.1,62.2
30423,6,32,0,0,0,0,2,40
31042,4.7,55.1,0.1,0,0,0,0,59.9
30425,0,32.7,0,2.3,0,0,1,36
31044,0,56.1,0,0,0,0,1,57.1
30426,0,50.1,0,0,0,0,0,50.1
31045,0,100,0,0,0,0,0,100
31730,7.1,59.4,0,0.4,0.1,0,0,67
30427,15.9,23.4,0,0.2,0,0,1.2,40.7
30041,6.1,2.2,0.3,13,0,0.1,2.1,23.8
31046,1.7,21.8,0.1,1,0,0,1.1,25.7
31733,0,19.5,0,0,0,0,0,19.5
30428,0.5,30.3,1,0,0,0,0,31.8
30043,18.3,23,0.2,12.3,0,0.5,2,56.3
31047,4.9,20.8,0.8,3.1,0,0,3.1,32.7
31735,5.2,4.9,0,0,0,0,0,10.1
30429,0,72.1,0,10,0,0,0,82.1
30044,32.9,25.1,0.1,12.3,0.1,1,1.3,72.8
31049,11.1,0.3,0,0.1,0,0,0,11.5
31738,6,20,2.2,0,0,0,0.8,29
