Code,Name
_AOIP,Age of Inventory (Public)
_BSICGM,Buyer Seller Index Cross MSA
_BSICTM,Buyer Seller Index Cross Time MSA
_DOZM,Days on Zillow MSA
_DOZP,Days on Zillow (Public)
_FOR10KM,"Foreclosures Per 10,000 Homes MSA"
_IMP,Inventory Measure (Public)
_IMSP,Inventory Measure - SSA (Public)
_ISA_BT_IMTP,Inventory Measure - Tiers (Public) - Inventory Seasonally Adjusted Bottom Tier
_ISA_MT_IMTP,Inventory Measure - Tiers (Public) - Inventory Seasonally Adjusted Middle Tier
_ISA_TT_IMTP,Inventory Measure - Tiers (Public) - Inventory Seasonally Adjusted Top Tier
_LPCSAL,Listings Price Cuts (SA) All Homes
_LPCSBT,Listings Price Cuts (SA) Bottom Tier
_LPCSCO,Listings Price Cuts (SA) Condominiums
_LPCSMT,Listings Price Cuts (SA) Middle Tier
_LPCSSF,Listings Price Cuts (SA) Single-Family Residence
_LPCSTT,Listings Price Cuts (SA) Top Tier
_MAINSAH,Median Age Of Inventory - NSA - All Homes
_MDLNSAH,Median Daily Listings - NSA - All Homes
_MDLSAAH,Median Daily Listings - SA - All Homes
_MLNSAH,Monthly Listings - NSA - All Homes
_MLP1B,Median Listing Price - One Bedroom
_MLP2B,Median Listing Price - Two Bedrooms
_MLP3B,Median Listing Price - Three Bedrooms
_MLP4B,Median Listing Price - Four Bedrooms
_MLP5B,Median Listing Price - Five Or More Bedrooms
_MLPAH,Median Listing Price - All Homes
_MLPBT,Median Listing Price - Bottom Tier
_MLPCC,Median Listing Price - Condo/Co-op
_MLPDT,Median Listing Price - Duplex/Triplex
_MLPF1B,Median Listing Price Per Square Foot - One Bedroom
_MLPF2B,Median Listing Price Per Square Foot - Two Bedrooms
_MLPF3B,Median Listing Price Per Square Foot - Three Bedrooms
_MLPF4B,Median Listing Price Per Square Foot - Four Bedrooms
_MLPF5B,Median Listing Price Per Square Foot - Five Or More Bedrooms
_MLPFAH,Median Listing Price Per Square Foot - All Homes
_MLPFBT,Median Listing Price Per Square Foot - Bottom Tier
_MLPFCC,Median Listing Price Per Square Foot - Condo/Co-op
_MLPFDT,Median Listing Price Per Square Foot - Duplex/Triplex
_MLPFMT,Median Listing Price Per Square Foot - Middle Tier
_MLPFSF,Median Listing Price Per Square Foot - Single-Family Residence
