List Price,Rent
212000.0,1810.0
254900.0,1587.0
261450.0,1874.0
160000.0,1414.0
153000.0,1505.0
297000.0,1435.0
410000.0,1970.0
439500.0,2300.0
470000.0,2740.0
196500.0,1150.0
325000.0,2200.0
269700.0,1795.0
249900.0,1848.0
225000.0,1787.5
195000.0,1990.0
90000.0,1115.0
343000.0,1410.0
164900.0,963.0
109000.0,989.0
155700.0,1305.0
350000.0,1800.0
459880.0,1895.0
555127.0,1991.0
327450.0,1799.5
400000.0,2000.0
374638.5,1752.5
325000.0,1740.0
195900.0,1350.0
149900.0,1200.0
973353.0,2972.5
769000.0,3036.0
799900.0,3560.0
238900.0,1400.0
197200.0,1235.0
433429.5,2850.0
353425.0,1800.0
530350.0,2300.0
849000.0,2760.0
449900.0,2225.0
165000.0,1299.0
554900.0,2100.0
176900.0,1205.0
159000.0,1275.0
309000.0,1566.0
529387.5,2440.0
460000.0,2200.0
459000.0,2300.0
239900.0,1695.0
265081.0,1564.5
231400.0,1595.0
