Date,30327_listings,30312_listings,30327_cuts,30312_cuts,30327_price,30312_price,30327_ptr,30312_ptr
2010-01-31,,,,,995000.0,,,
2010-02-28,,,,,899000.0,,,
2010-03-31,,,,,925000.0,,,
2010-04-30,,,,,899000.0,,,
2010-05-31,,,,,912450.0,,,
2010-06-30,,,,,899000.0,,,
2010-07-31,,,,,895000.0,,,
2010-08-31,,,,,945000.0,,,
2010-09-30,,,15.0552486187845,14.6766169154229,896000.0,,,
2010-10-31,,,16.8908819133034,17.4025974025974,899700.0,,14.59,10.59
2010-11-30,,,11.4331723027375,14.9863760217984,899700.0,,14.36,10.77
2010-12-31,,,7.17863105175292,15.3631284916201,899000.0,,14.11,10.75
2011-01-31,,,10.9929078014184,18.010752688172,890000.0,,13.99,10.72
2011-02-28,,,13.9028475711893,19.1666666666667,889000.0,,13.84,10.59
2011-03-31,,,13.355592654424,20.1634877384196,865000.0,,13.9,10.44
2011-04-30,,,15.7989228007181,15.3374233128834,895000.0,,13.88,10.18
2011-05-31,,,12.6315789473684,15.7051282051282,891000.0,,13.95,9.96
2011-06-30,,,15.370705244123,15.2317880794702,880000.0,,14.04,9.92
2011-07-31,,,13.9579349904398,14.0065146579805,874900.0,,14.18,9.89
2011-08-31,,,16.015625,16.2939297124601,849500.0,,14.18,9.81
2011-09-30,,,15.3386454183267,13.6075949367089,849000.0,,14.24,9.75
2011-10-31,,,15.7495256166983,15.9021406727829,795000.0,,14.08,9.77
2011-11-30,,,13.1481481481481,12.1813031161473,785000.0,,14.04,9.71
2011-12-31,,,8.98661567877629,14.8036253776435,795000.0,,14.09,9.64
2012-01-31,,,9.44881889763779,11.0410094637224,849950.0,,14.16,9.71
2012-02-29,,,14.9139579349904,12.4590163934426,855000.0,,14.24,9.73
2012-03-31,,,14.2095914742451,10.3030303030303,850000.0,,14.32,9.71
2012-04-30,,,12.7886323268206,7.38255033557047,899000.0,,14.54,9.81
2012-05-31,,,12.5435540069686,8.48708487084871,895000.0,,14.57,9.62
2012-06-30,,,12.6984126984127,11.3138686131387,899000.0,,14.3,9.63
2012-07-31,,,11.1954459203036,9.83606557377049,937000.0,,14.24,9.63
2012-08-31,,,11.2474437627812,10.3896103896104,899000.0,,14.27,9.75
2012-09-30,,,12.4705882352941,6.95187165775401,949500.0,,14.33,9.83
2012-10-31,,,10.5263157894737,10.6060606060606,912500.0,,14.45,9.79
2012-11-30,,,8.3756345177665,7.89473684210526,950000.0,,14.59,9.91
2012-12-31,,,7.55813953488372,6.89655172413793,995000.0,,14.8,9.96
2013-01-31,315.0,130.0,8.33333333333333,14.2857142857143,999900.0,,14.81,10.04
2013-02-28,314.0,128.0,8.53994490358127,5.84795321637427,1090000.0,,14.87,10.07
2013-03-31,344.0,150.0,11.943793911007,10.0502512562814,1095000.0,,14.59,10.03
2013-04-30,346.0,152.0,10.6575963718821,9.50226244343891,1050000.0,,14.38,10.08
2013-05-31,364.0,134.0,15.0684931506849,11.1702127659574,1100000.0,,14.59,10.0
2013-06-30,341.0,129.0,12.0772946859903,12.0879120879121,1195000.0,,14.71,10.08
2013-07-31,333.0,121.0,13.8686131386861,14.0350877192982,1157500.0,,14.91,10.24
2013-08-31,323.0,124.0,12.6865671641791,10.8571428571429,1100000.0,,15.07,10.35
2013-09-30,323.0,135.0,17.1503957783641,8.02139037433155,1165000.0,212450.0,15.12,10.39
2013-10-31,322.0,143.0,14.0957446808511,14.5077720207254,1149000.0,209000.0,15.14,10.54
2013-11-30,307.0,128.0,10.8333333333333,17.1270718232044,1125000.0,205000.0,15.0,10.8
2013-12-31,286.0,108.0,9.55223880597015,15.9090909090909,1154500.0,200000.0,15.02,10.98
2014-01-31,263.0,131.0,13.2258064516129,12.8654970760234,1149500.0,184000.0,15.11,11.27
2014-02-28,283.0,114.0,9.90990990990991,11.4457831325301,1157500.0,199900.0,15.28,11.26
2014-03-31,328.0,130.0,13.6020151133501,11.9617224880383,1100000.0,194900.0,15.42,11.25
2014-04-30,368.0,138.0,14.7058823529412,10.1941747572816,1150000.0,199900.0,15.08,11.2
2014-05-31,350.0,126.0,15.6043956043956,15.8653846153846,1149000.0,189900.0,15.13,11.13
2014-06-30,350.0,121.0,16.9683257918552,17.2043010752688,1174999.5,199450.0,15.35,11.24
2014-07-31,369.0,126.0,14.8314606741573,13.1428571428571,1164000.0,199450.0,15.36,11.15
2014-08-31,345.0,122.0,10.7398568019093,18.0232558139535,1174999.5,209250.0,15.63,11.13
2014-09-30,334.0,122.0,18.0,16.304347826087,1189000.0,205000.0,15.76,11.15
2014-10-31,340.0,127.0,15.6565656565657,16.0,1212000.0,219450.0,15.72,11.16
2014-11-30,304.0,109.0,10.079575596817,11.1111111111111,1212000.0,214999.0,15.79,11.18
2014-12-31,294.0,102.0,10.8882521489971,10.126582278481,1279000.0,189900.0,15.69,11.27
2015-01-31,279.0,111.0,9.91501416430595,14.1891891891892,1250000.0,189450.0,15.61,11.14
2015-02-28,286.0,96.0,10.2777777777778,7.05128205128205,1250000.0,188950.0,15.61,11.19
