Zip Codes,City,Age of Inventory (Public),Buyer Seller Index Cross MSA,Buyer Seller Index Cross Time MSA,Days on Zillow MSA,Days on Zillow (Public),Listings Price Cuts (SA+A7) Single-Family Residence+A1:A12,Inventory Measure (Public),Inventory Measure - SSA (Public),Inventory Measure - Tiers (Public) - Inventory Seasonally Adjusted Bottom Tier,Inventory Measure - Tiers (Public) - Inventory Seasonally Adjusted Middle Tier,Inventory Measure - Tiers (Public) - Inventory Seasonally Adjusted Top Tier,Listings Price Cuts (SA) All Homes,Listings Price Cuts (SA) Bottom Tier,Listings Price Cuts (SA) Condominiums,Listings Price Cuts (SA) Middle Tier,Listings Price Cuts (SA) Single-Family Residence,Listings Price Cuts (SA) Top Tier,Median Age Of Inventory - NSA - All Homes,Median Daily Listings - NSA - All Homes,Median Daily Listings - SA - All Homes,Monthly Listings - NSA - All Homes,Median Listing Price - One Bedroom,Median Listing Price - Two Bedrooms,Median Listing Price - Three Bedrooms,Median Listing Price - Four Bedrooms,Median Listing Price - Five Or More Bedrooms,Median Listing Price - All Homes,Median Listing Price - Bottom Tier,Median Listing Price - Condo/Co-op,Median Listing Price - Duplex/Triplex,Median Listing Price Per Square Foot - One Bedroom,Median Listing Price Per Square Foot - Two Bedrooms,Median Listing Price Per Square Foot - Three Bedrooms,Median Listing Price Per Square Foot - Four Bedrooms,Median Listing Price Per Square Foot - Five Or More Bedrooms,Median Listing Price Per Square Foot - All Homes,Median Listing Price Per Square Foot - Bottom Tier,Median Listing Price Per Square Foot - Condo/Co-op,Median Listing Price Per Square Foot - Duplex/Triplex,Median Listing Price Per Square Foot - Middle Tier,Median Listing Price Per Square Foot - Single-Family Residence,Median Listing Price Per Square Foot - Top Tier,Median Listing Price - Middle Tier,Median Listing Price - Single-Family Residence,Median Listing Price - Top Tier,Monthly Listings - SA - All Homes,Monthly Listings - SA - Bottom Tier,Monthly Listings - SA - Middle Tier,Monthly Listings - SA - Top Tier,Median Price Cut Dollar - All Homes,Median Price Cut Dollar - Condo,Median Price Cut Dollar - Single-Family Residence,Median Price Of Reduction - All Homes,Median Price Of Reduction - Condo,Median Price Of Reduction - Single-Family Residence,Median Rental Price - Five Or More Bedrooms,Median Rental Price - One Bedroom,Median Rental Price - Two Bedrooms,Median Rental Price - Three Bedrooms,Median Rental Price - Four Bedrooms,Median Rental Price - All Homes,Median Rental Price - Condo/Co-op,Median Rental Price - Duplex/Triplex,Median Rental Price Per Square Foot - One Bedroom,Median Rental Price Per Square Foot - Two Bedrooms,Median Rental Price Per Square Foot - Three Bedrooms,Median Rental Price Per Square Foot - Four Bedrooms,Median Rental Price Per Square Foot - Five Or More Bedrooms,Median Rental Price Per Square Foot - All Homes,Median Rental Price Per Square Foot - Condo/Co-op,Median Rental Price Per Square Foot - Duplex/Triplex,Median Rental Price Per Square Foot - Multi-Family Residence,Median Rental Price Per Square Foot - Single-Family Residence,Median Rental Price Per Square Foot - Studio,Median Rental Price - Multi-Family Residence,Median Rental Price - Single-Family Residence,Median Rental Price - Studio,Median Sold Price - All Homes,Median Sold Price Per Square Foot - All Homes,Median Sold Price Per Square Foot - Condo,Median Sold Price Per Square Foot - Single-Family Residence,Monthly Turnover MSA,Median Value Per Square Foot - All Homes,NF Sales,New Monthly Listings - NSA - All Homes,New Monthly Listings - SA - All Homes,Percent Of Homes Decreasing In Values - All Homes,Percent Of Homes Increasing In Values - All Homes,Percent Of Listings With Price Reductions - All Homes,Percent Of Listings With Price Reductions - Bottom Tier,Percent Of Listings With Price Reductions - Condo,Percent Of Listings With Price Reductions - Middle Tier,Percent Of Listings With Price Reductions - Single-Family Residence,Percent Of Listings With Price Reductions - Top Tier,Price To Rent Ratio - All Homes,Sales Counts - Bottom Tier MSA,Sales Counts MSA,Sales Counts - MIddle Tier MSA,Sales Counts - SA - Bottom Tier MSA,Sales Counts - SA MSA,Sales Counts - SA - Middle Tier MSA,Sales Counts - SA - Top Tier MSA,Sales Counts MSA - Top Tier,Sale Prices - Bottom Tier MSA,Sales Previously Foreclosed Share MSA,Sales Prices MSA,Sales Prices - Middle Tier MSA,Sales Prices - Top Tier MSA,Sale To List Ratio MSA,Inventory Measure - Tiers (Public) - TierShare Bottom Tier,Inventory Measure - Tiers (Public) - TierShare Middle Tier,Inventory Measure - Tiers (Public) - TierShare Top Tier,Turnover - All Homes,Unsold Renos - All Homes,Value Tiers (Public),ZRI - Bottom Tier YOY,Zillow Home Value Index - One Bedroom,Zillow Home Value Index - Two Bedrooms,Zillow Home Value Index - Three Bedrooms,Zillow Home Value Index - Four Bedrooms,Zillow Home Value Index - Five Or More Bedrooms,Zillow Home Value Index - All Homes,Zillow Home Value Index - Bottom Tier,Zillow Home Value Index - Bottom Tier Year-Over-Year,Zillow Home Value Index - Condo,Zillow Home Value Index - Middle Tier,Zillow Home Value Index - Middle Tier - Year-Over-Year,Zillow Home Value Index - Single-Family Residence,Zillow Home Value Index - Top Tier,Zillow Home Value Index - Top Tier - Year-Over-Year,ZRI - Middle Tier YOY,Zillow Rental Index - All Homes,Zillow Rental Index - All Homes Plus Multi-Family,Zillow Rental Index Per Square Foot - All Homes,Zillow Rental Index - Multi-Family Residence,Zillow Rental Index - Single-Family Residence,ZRI - Top Tier YOY
30004,Alpharetta,,,,,,,525,507,,,,17.10597253,,,,17.60810395,,,340,393,449,,297000,350000,529387.5,854500,540000,,259900,,,223.8512949,169.7289502,168.5924051,183.3163577,175.8440514,,169.1410891,,162.0567376,175.9198255,180.1611051,259548,553700,645449,493,,,,9000,,9000,1.428571429,,1.36,,1246,1435,1800,2440,1900,,,1.513400567,1.282405034,1.030350211,0.860778443,,0.946453734,,,1.337305225,0.938908363,,1386,1900,1700,323130,153,121.9626,139.6337,,491,,125,95,45.09,54.16,13.21070234,,,,13.50877193,,16,,,,,,,,,,,,,,,,,,4.077,30.3,,0.030129125,219323,243845,311355,482145,752056,463781,299730,0.026251186,256901,463781,0.023598013,487631,769960,0.019316387,0.006222775,2225,1617,0.958,1478,2459,0.019457245
30005,Alpharetta,,,,,,,168,158,,,,18.42445148,,,,18.99277664,,,138,163,184,,,459880,479200,649450,489000,,,,,,203.0042121,158.2568807,166.5561942,176.8726697,,,,,177.2208639,180.2074858,,509450,521961,198,,,,7900,,7900,1.449018599,,1.449018599,,1190,1622,1895,,2245,,,1.435294118,1.378583474,1.171576004,,,0.925988288,,,1.488195616,0.918522288,,1649,2300,,406320,145,103.4619189,138.0749,,496,,56,41,27.84,71.68,13.43873518,,,,14.10788382,,27.52,,,,,,,,,,,,,,,,,,5.0629,27,,0.065,441907,203859,347903,445934,561223,468553,371355,0.021884855,213286,468553,0.020952767,472413,604790,0.020971796,0.055520898,2392,1692,0.878,1560,2520,0.0897111
30009,Alpharetta,,,,,,,167,163,,,,13.91111446,,,,14.95725311,,,168,172,210,,,555127,613990,,556100.5,,,,,,216.9614396,194.1163452,,215.59375,,192.777172,,,212.1513796,222.8296,,569900,579900,210,,,,9000,,9000,2.36235119,,2.285502784,,1656.5,,1991,,2000,,,2.051005747,1.534164611,1.222627737,,,1.163828722,,,1.985698671,1.179554897,,1728,2100,,299725,152,124.9952,154.2714,,423,,63,51,28.48,71.11,11.98347107,,,,13.08411215,,32.66,,,,,,,,,,,,,,,,,,5.0651,58.2,,0.025885559,,243457,378427,448905,684281,413467,302292,0.035360039,273587,413467,0.02883455,424472,581869,0.027380015,0.024014778,2148,1663,1.036,1518,2056,0.049138804
30022,Alpharetta,,,,,,,286,258,,,,17.68707857,,,,18.21776671,,,210,258,284,,,327450,460000,740400,449900,,,,,,165.6592153,156.8760497,179.0073387,166.361225,,,,165.625,166.5515147,166.828322,262976,467500,540847,331,,,,5100,,5100,1.613591758,,1.554844824,,1312,1544,1799.5,2200,1950,,,1.505896226,1.296712109,1.152368758,0.851851852,,0.962081754,,,1.374599787,0.950555273,,1437,1975,,368650,149,128.0512,145.2469,,400,,78,65,27.12,72.49,13.23877069,,,,13.67088608,,34.58,,,,,,,,,,,,,,,,,,3.962,35.2,,-0.006164384,418641,250606,311375,439368,628313,437304,310549,0.027613797,260860,437304,0.01387369,447708,641229,0.018454281,0.003678725,2273,1637,0.93,1473,2487,0.004287245
30075,Roswell,,,,,,,322,296,,,,20.37703953,,,,20.91321132,,,258,294,352,,329900,400000,519900,740990,515000,,245000,,,197.978096,189.7549603,178.0916844,179.4727987,184.0858149,,188.9189189,,177.758216,184.3819156,185.6262562,293652,524450,542720,373,,,,5000,,5000,1.089130918,,1.056461952,,,,2000,,2185,,,,,1.161520062,,,1.022222222,,,,1.004717573,,1395,2200,,367050,156,142.208,150.0906,,354,,116,82,36.93,62.58,16.26373626,,,,16.359447,,27.48,,,,,,,,,,,,,,,,,,4.5314,37.4,,0.00752394,227022,294078,374092,462185,613455,450374,352681,0.021778053,286614,450374,0.013568286,460742,611893,0.012724158,0.038349797,2274,1787,0.972,1409,2457,0.008979206
30076,Roswell,,,,,,,162,141,,,,21.06616274,,,,21.26942989,,,156,182,213,,,374638.5,430000,699900,410000,,,,,,171.7334096,165.1114781,,166.797591,,,,161.8929016,167.6845825,172.1038462,276511,414950,450000,236,,,,5099,,5100,1.786352269,,1.786352269,,1050,1480.5,1752.5,,1887.5,,,1.359210526,1.266250847,1.084898495,,,1.0437417,,,1.440697674,1.053638277,,1150,1900,,303975,146,115.4268,144.7426,,276,,65,57,18.65,81,17.74744027,,,,17.66784452,,44.09,,,,,,,,,,,,,,,,,,5.3973,34.3,,-0.018220042,135750,180178,329901,411779,563106,383102,285427,0.030984399,195545,383102,0.02041349,390956,511093,0.015223597,-0.013003096,2037,1594,0.972,1425,2182,0.011440458
30097,Duluth,,,,,,,282,259,,,,15.01311884,,,,15.11662855,,,213,254,275,,,325000,459000,735000,475000,,,,,,146.2721969,150.0036298,157.141976,151.2348034,,,,144.2638658,150.9722415,153.967849,262888,477995,544605,315,,,,7000,,7000,1.50862069,,1.50862069,,1369,1730,1740,2300,2000,,,1.471108495,1.220299538,1.19828816,0.840823298,,0.840823298,,,1.335231896,0.842318059,,1445,2000,,331100,139,121.6809422,129.7537,,145,,74,67,54.88,44.61,10.58201058,,,,10.72386059,,11.83,,,,,,,,,,,,,,,,,,4.5953,13.2,,0.023571429,504324,228654,306269,426929,671645,462955,327066,0.01972314,335021,462955,0.013742695,470665,769459,0.00975161,0.006333122,2340,1589,0.852,1545,2495,0.032576505
30213,Fairburn,,,,,,,178,167,,,,11.58578302,,,,11.54618256,,,146,168,212,,,195900,239900,268950,228380,158455,,,,,103.9421866,90.35504699,85.84258965,93.58941872,96.07577808,,,90.18244611,93.58941872,110.3515625,239078,228380,360000,224,,,,5542.5,,5542.5,2.182539683,,2.182539683,,,,1350,1695,1545,,,,,0.874737579,,,0.794117647,,,,0.794117647,,,1545,,164625,72,88.5148,70.4365,,188,,56,52,18.24,81.03,10.85043988,,,,10.85043988,,18.4,,,,,,,,,,,,,,,,,,1.0733,300.5,,0.053003534,162727,122661,168289,220710,267152,203130,157320,0.082345495,161069,203130,0.066164893,203650,264282,0.056654619,0.073333333,1528,1288,0.702,1117,1445,0.088212928
30268,Palmetto,,,,,,,102,96,,,,9.664095146,,,,9.215002788,,,80,88,100,,439000,188990,,,277450,132934,,,,,98.08725931,,,121.9512195,94.75419556,,,,121.6187257,249.6301775,261560,279900,669900,108,,,,5100,,,3.174603175,,,,,,,,,,,,,,,,,,,,,,,,,148846.1538,78,,89.54154728,,299,,14,19,18.24,81.5,8.163265306,,,,7.80141844,,23.43,,,,,,,,,,,,,,,,,,2.964,66.3,,-0.012695313,180006,140815,163382,245096,355162,189892,125302,0.113983695,114599,189892,0.095223264,193320,350321,0.07623846,0.053959965,1421,1211,0.83,891,1341,0.076863354
30291,Union City,,,,,,,77,62,,,,9.045879801,,,,8.842530645,,,,,,,,149900,200000,,150990,133028,,,,,83.73493976,76.60898134,,81.0215764,77.87769784,,,,88.08273297,,210000,158990,,,,,,4500,,5000,2.635321874,,2.372093023,,,,1200,,1275,,,,,0.763383519,,,0.760025873,,,,0.763383519,,1000,1295,,73575,62,440.3067797,57.50165235,,22,,23,31,8.72,90.88,8.720930233,,,,8.759124088,,19.52,,,,,,,,,,,,,,,,,,0.2628,196.6,,0.054835494,45488,96795,143408,192390,217033,151501,107359,0.133435389,60319,151501,0.103197431,159332,194630,0.082131459,0.065276519,1315,1175,0.75,1090,1301,0.090909091
